session,req_id,skill,object,goal,start,dist_m,waypoints,nav_s,grasp_s,place_s,accept_to_done_s,final
20260827-152642,20260827-152642-011,grasp,apple,"[0.877617064670454, 0.4, 1.46]","[-0.148, 1.213, 2.022]",1.31,49,6.29,6.76,,13.12,done
20260827-152642,20260827-152642-012,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.858, 0.484, 1.504]",1.19,50,6.6,,,,
20260827-152642,20260827-152642-013,grasp,apple,"[1.109839702886664, 0.4, 1.46]","[-0.118, 1.26, 1.939]",1.5,50,6.8,6.15,,13.04,done
20260827-152642,20260827-152642-014,grasp,apple,"[1.1532940409826913, 0.4, 1.46]","[1.035, -0.141, 1.47]",0.55,13,2.56,5.51,,8.11,done
20260827-152642,20260827-152642-015,grasp,apple,"[1.0031989498033707, 0.4, 1.46]","[1.204, 0.479, 1.47]",0.22,6,2.16,5.91,,8.1,done
20260827-152642,20260827-152642-016,grasp,apple,"[1.331168081705503, 0.4, 1.46]","[1.086, 0.503, 1.48]",0.27,7,2.87,5.09,,7.99,done
20260827-152642,20260827-152642-017,grasp,apple,"[1.0031989498033707, 0.4, 1.46]","[1.362, 0.494, 1.416]",0.37,9,5.79,5.35,,11.17,done
20260827-152642,20260827-152642-018,grasp,apple,"[1.0437891089807028, 0.4, 1.46]","[1.04, 0.498, 1.555]",0.1,2,0.1,5.91,,6.03,done
20260827-152642,20260827-152642-019,grasp,apple,"[1.1532940409826913, 0.4, 1.46]","[2.01, -3.438, 2.864]",3.93,102,8.71,5.6,,14.6,done
20260827-152642,20260827-152642-019p,grasp,,"[0.6641285882207764, -1.5081343367915145, -1.7749080579691516]","[1.122, 0.454, 1.482]",2.01,43,8.71,,3.65,12.59,done
20260827-152642,20260827-152642-020,grasp,apple,"[0.921071402766481, 0.4, 1.46]","[0.569, -1.592, -1.785]",2.02,43,8.61,6.46,,15.21,done
20260827-152642,20260827-152642-021,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.855, 0.514, 1.537]",1.17,51,6.8,,5.68,12.55,done
20260827-152642,20260827-152642-022,grasp,cup,"[1.3120886690780142, 0.4, 1.46]","[-0.142, 1.253, 2.108]",1.69,52,8.21,5.4,,13.69,done
20260827-152642,20260827-152642-023,grasp,,"[0.4369712167722231, -1.7462932036126828, -1.8989080579691515]","[1.314, 0.5, 1.452]",2.41,50,9.3,,,9.48,done
20260827-152642,20260827-152642-024,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.38, -1.778, -1.881]",3.04,62,7.7,,6.19,14.29,done
20260827-152642,20260827-152642-025,grasp,orange,"[1.047558809357692, 0.4, 1.46]","[-0.173, 1.201, 2.02]",1.46,49,6.6,,,,
20260827-152642,20260827-152642-026,grasp,apple,"[1.0031989498033707, 0.4, 1.46]","[1.017, 0.396, 1.452]",0.01,2,0.1,5.72,,5.84,done
20260827-152642,20260827-152642-027,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.017, 0.407, 1.452]",1.37,49,6.49,,,,
20260827-152642,20260827-152642-028,grasp,,"[-0.2917373568598859, 1.4342841576356578, 1.6940919420308482]","[0.766, -1.133, 1.183]",2.78,56,6.69,,,6.95,done
20260827-152642,20260827-152642-029,grasp,apple,"[1.0437891089807028, 0.4, 1.46]","[0.826, -1.026, 1.576]",1.44,31,2.77,,,,
20260827-154318,20260827-154318-001,grasp,cup,"[1.3120886690780142, 0.4, 1.46]","[0.851, -0.384, 1.411]",0.91,20,3.27,6.36,,9.68,done
20260827-154318,20260827-154318-003,grasp,cup,"[1.3182509647517806, 0.4, 1.46]","[1.363, 0.518, 1.399]",0.13,4,0.6,5.27,,5.91,done
20260827-154318,20260827-154318-004,grasp,cup,"[1.3182509647517806, 0.4, 1.46]","[1.33, 0.507, 1.46]",0.11,3,0.1,5.45,,5.58,done
20260827-154318,20260827-154318-005,grasp,,"[1.3182509647517806, 1.0105513029911846, 0.2740919420308483]","[1.339, 0.516, 1.456]",0.49,2,,,,,
20260827-154318,20260827-154318-006,grasp,cup,"[1.268634330981987, 0.4, 1.46]","[1.087, -0.851, 0.934]",1.26,28,3.88,6.0,,9.95,done
20260827-154318,20260827-154318-007,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.257, 0.49, 1.381]",1.52,51,7.3,,6.23,13.61,done
20260827-154318,20260827-154318-008,grasp,apple,"[0.877617064670454, 0.4, 1.46]","[-0.158, 1.232, 2.06]",1.33,49,6.59,6.82,,13.49,done
20260827-154318,20260827-154318-009,grasp,cup,"[1.268634330981987, 0.4, 1.46]","[0.901, 0.444, 1.545]",0.37,8,3.17,5.76,,8.96,done
20260827-154842,20260827-154842-001,grasp,apple,"[1.109839702886664, 0.4, 1.46]","[1.766, -3.205, 2.87]",3.66,96,8.51,5.85,,14.62,done
20260827-154842,20260827-154842-001p,grasp,,"[0.6227457266926425, -1.7191570287447686, -1.7539080579691515]","[1.036, 0.49, 1.541]",2.25,54,9.82,,,,
20260827-155055,20260827-155055-001,grasp,apple,"[1.1160019985604304, 0.4, 1.46]","[1.692, -3.338, 2.877]",3.78,94,8.79,,,,
20260827-155055,20260827-155055-002,grasp,apple,"[1.1036774072128976, 0.4, 1.46]","[0.983, -1.105, 1.486]",1.51,33,2.87,5.4,,8.35,done
20260827-155055,20260827-155055-003,grasp,apple,"[1.1036774072128976, 0.4, 1.46]","[2.399, -3.436, 3.018]",4.05,108,9.31,5.45,,15.05,done
20260827-155055,20260827-155055-003p,grasp,,"[0.5767541473543794, -1.7486205232468948, -1.7699080579691515]","[1.029, 0.47, 1.535]",2.26,54,10.52,,3.14,13.97,done
20260827-155333,20260827-155333-001,grasp,apple,"[1.1036774072128976, 0.4, 1.46]","[2.297, -3.403, 3.001]",3.99,106,9.11,5.6,,14.99,done
20260827-155333,20260827-155333-001p,grasp,,"[0.8094726195737124, -1.3281581236089381, -1.7049080579691516]","[1.034, 0.461, 1.508]",1.8,38,8.76,,,,
20260827-155448,20260827-155448-001,grasp,apple,"[1.1532940409826913, 0.4, 1.46]","[0.508, -1.599, 1.337]",2.1,44,5.19,5.27,,10.59,done
20260827-155448,20260827-155448-002,grasp,apple,"[0.921071402766481, 0.4, 1.46]","[1.199, 0.473, 1.473]",0.29,7,4.28,6.46,,10.77,done
20260827-155448,20260827-155448-003,grasp,cup,"[1.3120886690780142, 0.4, 1.46]","[0.949, 0.477, 1.552]",0.37,10,3.27,5.5,,8.8,done
20260827-155549,20260827-155549-001,grasp,cup,"[1.2922420155700969, 0.4, 1.46]","[1.031, 0.432, 1.381]",0.26,6,2.67,5.66,,8.35,done
20260827-155549,20260827-155549-002,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[1.257, 0.518, 1.437]",0.17,5,1.66,5.25,,6.94,done
20260827-155549,20260827-155549-003,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[1.184, 0.484, 1.496]",0.29,7,4.28,6.26,,10.57,done
20260827-155549,20260827-155549-004,grasp,orange,"[1.0277121558497744, 0.4, 1.46]","[0.976, 0.504, 1.516]",0.12,4,0.1,,,,
20260827-155653,20260827-155653-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.557, -3.465, 2.935]",4.12,112,9.62,5.51,,15.42,done
20260827-155653,20260827-155653-001p,grasp,,"[0.6333448752515207, -1.6340064049437795, -1.7689080579691516]","[1.047, 0.482, 1.512]",2.16,44,9.1,,4.25,13.59,done
20260827-155653,20260827-155653-002,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.586, -1.629, -1.773]",2.05,43,8.11,6.61,,14.85,done
20260827-155653,20260827-155653-003,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.876, 0.448, 1.396]",1.23,49,6.69,,5.48,12.25,done
20260827-155653,20260827-155653-004,grasp,cup,"[1.2922420155700969, 0.4, 1.46]","[-0.101, 1.268, 1.947]",1.64,52,7.2,6.12,,13.38,done
20260827-155653,20260827-155653-005,grasp,,"[0.4432029850694973, -2.2548333782867545, -1.8169080579691517]","[1.191, 0.534, 1.495]",2.89,60,9.72,,,9.98,done
20260827-155653,20260827-155653-006,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.508, -2.322, -1.821]",3.6,74,11.03,,5.24,16.81,done
20260827-155653,20260827-155653-007,grasp,,"[0.4618790756094082, -2.031933386461625, -1.7449080579691516]","[-0.117, 1.311, 1.949]",3.39,70,10.2,,,10.75,done
20260827-155653,20260827-155653-008,grasp,orange,"[1.0277121558497744, 0.4, 1.46]","[0.446, -2.047, -1.736]",2.52,53,9.11,6.67,,15.96,done
20260827-155653,20260827-155653-009,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.994, 0.492, 1.452]",1.3,50,7.09,,5.39,12.56,done
20260827-164848,20260827-164848-001,grasp,apple,"[0.9833522962954531, 0.4, 1.46]","[0.512, -0.67, 1.422]",1.17,26,2.87,,,,
20260827-164848,20260827-164848-002,grasp,apple,"[0.9833522962954531, 0.4, 1.46]","[0.607, -2.33, 1.567]",2.76,59,5.09,5.75,,11.03,done
20260827-164848,20260827-164848-003,grasp,,"[0.335924602386844, -2.420446526468632, -1.7309080579691516]","[0.951, 0.451, 1.525]",2.94,62,,,,,
20260827-164848,20260827-164848-004,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.696, -1.078, 1.39]",2.43,50,,,,,
20260827-164848,20260827-164848-005,grasp,,"[0.33770963741304144, -2.3251488791750377, -1.3849080579691515]","[-0.196, 1.222, 2.052]",3.59,73,,,,,
20260827-164848,20260827-164848-006,place,apple,"[0.8884771933006552, 0.4, 1.46]","[0.219, -1.14, 1.589]",1.68,37,5.28,,5.89,11.26,done
20260827-164848,20260827-164848-007,grasp,cup,"[1.2922420155700969, 0.4, 1.46]","[0.879, 0.44, 1.441]",0.42,9,4.08,5.75,,9.85,done
20260827-164848,20260827-164848-008,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.284, 0.526, 1.418]",1.53,52,,,,,
20260827-164848,20260827-164848-009,grasp,,"[0.24467279631439048, -2.1496693499921276, -1.4119080579691516]","[-0.101, 1.244, 1.974]",3.41,69,10.22,,3.85,14.74,done
20260827-164848,20260827-164848-010,grasp,,"[0.8655302958530748, 0.8708685995575923, 1.2830919420308486]","[0.244, -2.203, -1.372]",3.14,60,7.6,,,7.87,done
20260827-165334,20260827-165334-001,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.893, 0.567, 1.261]",0.17,5,1.66,6.45,,8.14,done
20260827-165334,20260827-165334-002,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.885, 0.504, 1.504]",1.2,51,5.79,,6.09,11.95,done
20260827-165334,20260827-165334-003,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[-0.123, 1.207, 1.951]",1.49,49,7.5,5.2,,12.76,done
20260827-165454,20260827-165454-001,grasp,apple,"[0.9833522962954531, 0.4, 1.46]","[2.726, -3.572, 2.873]",4.34,115,,,,,
20260827-165718,20260827-165718-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[3.417, -3.689, 2.879]",4.68,130,10.51,5.24,,16.26,done
20260827-165718,20260827-165718-001p,grasp,,"[0.8256855493533024, -1.4407794472900348, -1.7039080579691517]","[1.075, 0.483, 1.495]",1.94,40,8.61,,4.05,12.91,done
20260827-165718,20260827-165718-002,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.828, -1.506, -1.693]",1.91,41,9.11,6.31,,15.56,done
20260827-165718,20260827-165718-003,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.964, 0.492, 1.491]",1.27,50,7.19,,5.78,13.05,done
20260827-165718,20260827-165718-004,grasp,apple,"[1.0239424554727852, 0.4, 1.46]","[-0.107, 1.284, 2.011]",1.44,50,6.8,6.4,,13.27,done
20260827-165718,20260827-165718-005,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.953, 0.453, 1.481]",1.29,50,,,,,
20260827-165718,20260827-165718-006,grasp,,"[0.43730045837788606, -1.8488924891441088, -1.3169080579691517]","[-0.181, 1.165, 2.001]",3.08,63,,,,,
20260827-170941,20260827-170941-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.495, -3.554, 3.037]",4.18,111,10.4,5.3,,16.02,done
20260827-170941,20260827-170941-001p,grasp,,"[0.6998461991674344, -1.5045390394791334, -1.7529080579691516]","[1.15, 0.497, 1.481]",2.05,43,9.31,,3.7,13.25,done
20260827-170941,20260827-170941-002,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.588, -1.592, -1.766]",2.02,43,8.66,6.4,,15.2,done
20260827-170941,20260827-170941-003,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.846, 0.518, 1.584]",1.16,51,6.29,,6.18,12.55,done
20260827-171431,20260827-171431-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.445, -3.379, 2.912]",4.0,109,,,,,
20260827-171536,20260827-171536-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.621, -3.425, 3.045]",4.1,113,9.41,6.15,,15.92,done
20260827-171536,20260827-171536-001p,grasp,,"[0.783493193300791, -1.5692525067031518, -1.7139080579691517]","[1.068, 0.458, 1.487]",2.05,43,,,,,
20260827-171652,20260827-171652-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.473, -3.567, 2.862]",4.19,111,9.41,,,,
20260827-172457,20260827-172457-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.351, -3.49, 3.029]",4.08,108,,,,,
20260827-172457,20260827-172457-002,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[0.998, 0.521, 1.419]",0.18,5,2.26,5.35,,7.64,done
20260827-172457,20260827-172457-002p,grasp,,"[0.735183099147666, -1.8035437987582854, -1.7199080579691517]","[1.154, 0.487, 1.477]",2.33,54,9.81,,4.2,14.35,done
20260827-172457,20260827-172457-003,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.57, -1.899, -1.714]",2.32,53,,,,,
20260827-173413,20260827-173413-001,grasp,apple,"[1.3113214281975856, 0.4, 1.46]","[0.618, -1.033, 0.697]",1.59,34,5.48,5.4,,10.95,done
20260827-173413,20260827-173413-001p,grasp,,"[0.5764971104723136, 0.14371229881697045, -2.3869080579691513]","[1.245, 0.479, 1.562]",0.75,20,8.39,,3.75,12.35,done
20260827-173413,20260827-173413-002,grasp,,"[-0.161752084939877, -0.13636677161017083, -2.4989080579691514]","[0.531, -0.083, -2.364]",0.69,16,2.66,,,2.7,done
20260827-173413,20260827-173413-003,grasp,,"[0.3177744151788364, -1.7404969661820109, -1.9129080579691515]","[-0.194, -0.235, -2.391]",1.59,33,5.99,,,6.07,done
20260827-173413,20260827-173413-004,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.26, -1.756, -1.837]",2.25,48,8.41,6.76,,15.34,done
20260827-173413,20260827-173413-005,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.841, 0.451, 1.511]",1.2,50,5.94,,6.15,12.17,done
20260827-173413,20260827-173413-006,grasp,apple,"[0.9833522962954531, 0.4, 1.46]","[-0.132, 1.216, 2.024]",1.38,49,6.69,5.5,,12.25,done
20260827-173413,20260827-173413-007,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.915, 0.487, 1.539]",1.24,50,,,,,
20260827-173413,20260827-173413-008,grasp,,"[0.526554868364361, -2.1033333244197077, -1.7349080579691516]","[0.135, 0.898, 1.508]",3.03,63,9.12,,3.75,13.37,done
20260827-173413,20260827-173413-009,grasp,cup,"[1.2922420155700969, 0.4, 1.46]","[0.509, -2.177, -1.758]",2.69,58,10.02,5.85,,16.05,done
20260827-173413,20260827-173413-010,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.282, 0.466, 1.419]",1.56,51,7.4,,,,
20260827-174000,20260827-174000-001,grasp,apple,"[0.9833522962954531, 0.4, 1.46]","[2.52, -3.423, 2.936]",4.12,111,9.17,6.4,,15.86,done
20260827-174000,20260827-174000-001p,grasp,,"[0.7168177005306561, -1.6353533602563275, -1.6769080579691515]","[0.882, 0.493, 1.567]",2.13,43,9.62,,4.9,14.75,done
20260827-174000,20260827-174000-002,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.39, -3.516, 3.01]",4.11,108,10.12,5.41,,15.84,done
20260827-174000,20260827-174000-002p,grasp,,"[0.7611179678474346, -1.5061373596505372, -1.7269080579691516]","[1.107, 0.478, 1.483]",2.01,42,8.91,,4.15,13.32,done
20260827-174000,20260827-174000-003,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.814, -1.576, -1.73]",1.98,42,9.57,6.55,,16.27,done
20260827-174000,20260827-174000-004,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.934, 0.468, 1.555]",1.26,50,6.8,,6.18,13.05,done
20260827-174805,20260827-174805-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.606, -3.351, 2.843]",4.03,113,9.3,5.6,,15.25,done
20260827-174805,20260827-174805-001p,grasp,,"[0.7689588448074992, -1.5402945302647095, -1.7219080579691517]","[1.045, 0.447, 1.469]",2.01,41,7.8,,4.35,12.41,done
20260827-174935,20260827-174935-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.305, -3.492, 3.027]",4.06,107,9.21,5.9,,15.41,done
20260827-174935,20260827-174935-001p,grasp,,"[0.7642922922690129, -1.7558900955060355, -1.7109080579691516]","[1.058, 0.436, 1.501]",2.21,42,,,,,
20260827-175021,20260827-175021-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.146, -3.478, 2.895]",4.01,103,8.61,5.91,,14.78,done
20260827-175021,20260827-175021-001p,grasp,,"[0.7634087172627199, -1.4229683770876738, -1.7319080579691517]","[1.073, 0.448, 1.498]",1.9,38,,,,,
20260827-175225,20260827-175225-001,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[0.226, -1.708, -2.994]",2.3,48,6.09,5.5,,11.77,done
20260827-175225,20260827-175225-002,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[2.312, -3.527, 2.899]",4.1,108,9.21,5.75,,15.26,done
20260827-175225,20260827-175225-002p,grasp,,"[0.7727198758876914, -1.5910366185926703, -1.7169080579691516]","[1.042, 0.456, 1.516]",2.06,43,9.11,,4.3,13.67,done
20260827-175225,20260827-175225-003,grasp,apple,"[1.1334473874747737, 0.4, 1.46]","[1.918, -3.384, 2.834]",3.86,99,8.41,5.8,,14.5,done
20260827-175225,20260827-175225-003p,grasp,,"[0.7316772291912212, -1.605028910083526, -1.7329080579691516]","[1.047, 0.433, 1.513]",2.06,42,7.5,,4.45,12.19,done
20260827-175225,20260827-175225-004,grasp,apple,"[0.9012247492585637, 0.4, 1.46]","[0.871, -1.671, -1.756]",2.07,42,9.52,6.56,,16.22,done
20260827-175225,20260827-175225-005,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.931, 0.479, 1.522]",1.25,50,7.09,,5.94,13.11,done
20260827-175225,20260827-175225-006,grasp,cup,"[1.2922420155700969, 0.4, 1.46]","[-0.127, 1.293, 2.018]",1.68,52,8.01,5.85,,13.92,done
20260827-175225,20260827-175225-007,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.252, 0.512, 1.484]",1.51,52,,,,,
20260827-175225,20260827-175225-008,grasp,,"[0.7333384718839254, -1.9802773638894997, -1.5349080579691516]","[0.553, 0.196, 1.344]",2.18,44,8.91,,5.05,14.22,done
20260827-175225,20260827-175225-009,grasp,apple,"[1.0239424554727852, 0.4, 1.46]","[0.532, -2.041, -1.536]",2.49,53,9.61,6.16,,15.95,done
20260827-175225,20260827-175225-010,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.055, 0.502, 1.462]",1.34,51,6.39,,6.08,12.56,done
